faculty_id,faculty_name,designation,department_id,email,phone,experience
F0001,Peter Sekhon,Associate Professor,D005,psharaf@example.com,8898806796,10
F0002,Hiral Sibal,Assistant Professor,D004,gpalla@example.com,842558262,17
F0003,Quincy Setty,Professor,D004,isaiah62@example.com,917605057,15
F0004,Dalbir Naik,Assistant Professor,D005,timothythakur@example.org,910746252,14
F0005,Henry Ratta,Assistant Professor,D005,prisha35@example.com,348119315,16
F0006,Hredhaan Arya,Assistant Professor,D002,daksha45@example.net,918384019,20
F0007,Aadi Sheth,Assistant Professor,D001,vanyanagarajan@example.org,913683863,6
F0008,Triya Desai,Associate Professor,D005,eiravati22@example.com,276678076,19
F0009,Shravya Arora,Professor,D003,rkota@example.org,596045457,14
F0010,Kala Balay,Assistant Professor,D004,lopa40@example.org,1314695105,21
F0011,Warhi Anne,Professor,D001,vcheema@example.net,373064939,10
F0012,Patrick Radhakrishnan,Professor,D001,aryan56@example.org,96121615,21
F0013,Banjeet Borde,Associate Professor,D001,sethgaurang@example.net,917314686,19
F0014,Ayaan Deo,Associate Professor,D004,dayalhema@example.net,5556682239,7
F0015,Manan Sarna,Associate Professor,D001,manya15@example.com,219857469,10
F0016,Charan Dhawan,Professor,D002,brarfiyaz@example.org,255753470,8
F0017,Daksha Maharaj,Associate Professor,D005,subramaniamvritti@example.org,6344370557,14
F0018,Jalsa Dube,Associate Professor,D003,charan17@example.org,817909558,5
F0019,Utkarsh Prashad,Assistant Professor,D005,rbaria@example.org,188802765,25
F0020,Chakrika Guha,Associate Professor,D003,chanderbishakha@example.org,543102913,20
F0021,Janaki Vaidya,Associate Professor,D004,erama@example.org,911327542,23
F0022,Girindra Bal,Assistant Professor,D004,thakkarkeya@example.org,911561127,20
F0023,Eta Kumer,Assistant Professor,D002,zchada@example.org,918412827,25
F0024,Ekanta Prasad,Associate Professor,D002,eiravati54@example.com,915602462,4
F0025,Frederick Gade,Associate Professor,D004,yparsa@example.com,9371036186,10
F0026,Jeevika Sandhu,Professor,D004,dinvamakshi@example.net,6469210762,13
F0027,Qasim Parmer,Professor,D004,gautam94@example.net,918498973,11
F0028,Hitesh Narasimhan,Associate Professor,D003,ekumar@example.net,912101135,17
F0029,Ucchal Pant,Assistant Professor,D005,daraoviya@example.com,919669559,25
F0030,Hema Kashyap,Associate Professor,D005,xbala@example.org,685136740,11
F0031,Bina Chadha,Professor,D001,bmenon@example.net,7102893900,13
F0032,Riya Lala,Assistant Professor,D005,devikapant@example.com,3921144332,5
F0033,Sanaya Shan,Professor,D003,vasana68@example.net,914545387,11
F0034,Mugdha Tiwari,Associate Professor,D002,bhora@example.com,373329614,18
F0035,Qabil Sharma,Assistant Professor,D003,bborra@example.com,393001528,21
F0036,Baghyawati Pau,Associate Professor,D001,sneha82@example.com,797173682,14
F0037,Ishita Bala,Professor,D002,veerkant@example.net,396607016,5
F0038,Zarna Saini,Assistant Professor,D003,kalpit80@example.org,2045535424,16
F0039,Yasti Hora,Professor,D002,qgopal@example.org,674874069,11
F0040,Aarini Natt,Associate Professor,D005,lucky17@example.com,910970155,12
F0041,Netra Nagar,Professor,D003,chandani61@example.net,345307228,11
